PCON25NM,Fatal,Serious,Slight,Total,Slight_Proportion,Serious_Proportion,Fatal_Proportion
Feltham and Heston,2,51,281,334,1.096013442793367,0.6995197915856599,0.4247073256381373
Filton and Bradley Stoke,2,15,75,92,1.062012097399576,0.7469297007340486,1.5418722474254114
Finchley and Golders Green,0,60,279,339,1.0721623015163153,0.8108263417997932,0.0
Folkestone and Hythe,2,32,150,184,1.062012097399576,0.7967250141163185,0.7709361237127057
Forest of Dean,3,53,99,155,0.8320693490851904,1.56646418098031,1.372763678352947
Frome and East Somerset,6,21,86,113,0.9914619132301411,0.8513676588897828,3.7659888521187037
Fylde,1,54,139,194,0.9334027973570982,1.2751707055830768,0.3655985741317986
Gainsborough,6,62,132,200,0.8598049940546968,1.4201623376623378,2.1277837014470675
Gateshead Central and Whickham,1,41,103,145,0.9253909549387018,1.2953649798477385,0.48914567849357876
Gedling,2,22,81,105,1.0049668761678274,0.9598639455782314,1.350973778696551
Gillingham and Rainham,2,33,140,175,1.0421878715814508,0.8638775510204083,0.8105842672179305
Glastonbury and Somerton,4,29,117,150,1.0161331747919145,0.8856926406926408,1.8913632901751714
Gloucester,0,38,116,154,0.9812807881773399,1.1304182830156857,0.0
Godalming and Ash,4,60,139,203,0.892020407326488,1.3540400486213295,1.3975590814102252
Goole and Pocklington,2,37,125,164,0.9929381398451321,1.0335563826417486,0.8649527241654748
Gorton and Denton,1,29,57,87,0.853515929312395,1.527056277056277,0.815242797489298
Gosport,2,35,82,119,0.8976828305638546,1.3474025974025976,1.192035687085192
Gower,0,14,38,52,0.9519985365407482,1.2333916083916083,0.0
Grantham and Bourne,6,49,168,223,0.9814325248076441,1.0066245413779047,1.9083261896386259
Gravesham,0,32,174,206,1.1003682624707063,0.7116378766864203,0.0
Great Grimsby and Cleethorpes,2,62,191,255,0.975773938588515,1.1138528138528139,0.5562833206397563
Great Yarmouth,2,35,105,142,0.9632898460920098,1.1291613316261204,0.9989594842474496
Greenwich and Woolwich,0,33,169,202,1.0899118211464427,0.7484087694483734,0.0
Guildford,2,70,190,262,0.9447313721396737,1.2239764052741153,0.5414207891722819
Hackney North and Stoke Newington,1,37,234,272,1.120735119255788,0.6231737012987013,0.26075780654988573
Hackney South and Shoreditch,2,57,310,369,1.0944384830293012,0.7076602259529089,0.3844234329624332
Halesowen,1,19,89,109,1.0637009239764805,0.7985523650661266,0.6506983796474214
Halifax,4,45,108,157,0.8961488067738588,1.3130738688063528,1.807034990613221
Hamble Valley,0,39,109,148,0.9594466047498152,1.2071998946998945,0.0
Hammersmith and Chiswick,0,72,267,339,1.0260477939242159,0.9729916101597518,0.0
Hampstead and Highgate,2,35,292,329,1.1562266660402112,0.4873583862945565,0.4311618442648567
"Harborough, Oadby and Wigston",1,14,65,80,1.0584720570749109,0.8017045454545454,0.8865765422696116
Harlow,3,34,105,142,0.9632898460920098,1.0968995792939455,1.4984392263711745
Harpenden and Berkhamsted,2,33,130,165,1.026397146254459,0.9162337662337663,0.8597105864432597
Harrogate and Knaresborough,4,19,86,109,1.0278458366514307,0.7985523650661266,2.6027935185896856
Harrow East,1,19,156,176,1.1546967895362663,0.49455799881936247,0.402989337395278
Harrow West,0,26,145,171,1.104658197217181,0.6965519860256703,0.0
Hartlepool,1,25,63,89,0.922160616708306,1.2868451772946157,0.7969227346243699
Harwich and North Essex,3,40,90,133,0.8815498913752872,1.3777951371936334,1.5998373695090735
Hastings and Rye,1,58,150,209,0.9349771575192439,1.27132914931958,0.3393594420170762
Havant,0,27,115,142,1.0550317361960109,0.8710673129687214,0.0
Hayes and Harlington,5,42,268,315,1.1083585300945586,0.6108225108225108,1.1258114822471257
Hazel Grove,1,15,45,61,0.9610338979746984,1.1265169256972536,1.1627233341240808
Hemel Hempstead,2,24,72,98,0.9571113106360262,1.1219188974291014,1.4474719057463046
Hendon,0,31,187,218,1.1174835549640554,0.651450613606577,0.0
Henley and Thame,4,33,76,113,0.8761756442498922,1.3378634639696587,2.5106592347458028
Hereford and South Herefordshire,5,24,121,150,1.0508727705112961,0.7329870129870131,2.364204112718964
Herne Bay and Sandwich,0,29,134,163,1.0709599293858465,0.815054577324516,0.0
Hertford and Stortford,2,13,75,90,1.0856123662306778,0.6617243867243867,1.576136075145976
Hertsmere,5,40,154,199,1.0081465591931118,0.9208379560138354,1.782063401546958
Hexham,9,41,68,118,0.7507285515629094,1.5917620515078144,5.4096195799501725
Heywood and Middleton North,1,27,52,80,0.8467776456599286,1.5461444805194806,0.8865765422696116
High Peak,1,46,86,133,0.8423698962030521,1.5844644077726784,0.5332791231696912
Hinckley and Bosworth,3,26,68,97,0.9132574132414774,1.2279421609318517,2.1935914447907914
Hitchin,2,34,83,119,0.9086301821560966,1.3089053803339517,1.192035687085192
Holborn and St Pancras,1,55,305,361,1.1006485485884434,0.69796201028888,0.19647125590462305
Honiton and Sidmouth,6,35,105,146,0.936898343459352,1.098225404732254,2.914772193763106
Hornchurch and Upminster,1,21,165,187,1.1494719171854235,0.5144628099173554,0.37928408225437926
Hornsey and Friern Barnet,0,26,320,346,1.204841470036359,0.3442496809548833,0.0
Horsham,3,36,120,159,0.9831961052655196,1.0372457730948297,1.3382287430484703
Houghton and Sunderland South,2,31,80,113,0.9222901518419917,1.2567808297896794,1.2553296173729014
Hove and Portslade,2,41,133,176,0.9844530321046374,1.0672041027154664,0.805978674790556
Huddersfield,0,48,149,197,0.9853172136144426,1.1162238776451976,0.0
Huntingdon,3,48,133,184,0.9416507263609575,1.1950875211744778,1.1564041855690586
Hyndburn,4,56,126,186,0.8824977944842928,1.3792766373411536,1.525292975947719
Ilford North,3,28,194,225,1.123246928260008,0.5701010101010101,0.9456816450875857
Ilford South,1,36,211,248,1.1083752061677727,0.6650083787180562,0.2859924329901973
Ipswich,0,34,129,163,1.0309987379908523,0.9555812285873635,0.0
Isle of Wight East,1,26,67,94,0.9285450451590052,1.267131804365847,0.7545332274634992
Isle of Wight West,3,47,89,139,0.834125184988751,1.5490283098196769,1.5307796413288257
Islington North,0,31,176,207,1.1076392838063727,0.6860687621557187,0.0
Islington South and Finsbury,1,73,315,389,1.054913816028782,0.8597052048208861,0.18232936601945737
Jarrow and Gateshead East,1,18,66,85,1.0115352871231726,0.9701298701298702,0.8344249809596344
Keighley and Ilkley,3,38,100,141,0.9239254180686619,1.2346412452795432,1.5090664549269983
Kenilworth and Southam,7,54,113,174,0.8460289474763213,1.421742051052396,2.8533497912125427
Kensington and Bayswater,3,94,397,494,1.046934678688856,0.8717203848782796,0.4307254456370583
Kettering,4,34,109,147,0.9659734524011746,1.0595900697941516,1.9299625409950727
Kingston and Surbiton,2,36,153,191,1.0435519918322118,0.8634663765553818,0.7426819202258527
Kingston upon Hull East,2,48,180,230,1.019531613503593,0.9560700169395822,0.6167488989701646
Kingston upon Hull North and Cottingham,2,54,217,273,1.0355071800969542,0.9061652633081204,0.5196052994986734
Kingston upon Hull West and Haltemprice,4,34,199,237,1.0938575234425563,0.6572140939229547,1.1970653735285894
Kingswinford and South Staffordshire,2,13,64,79,1.0553801231204563,0.7538632253822127,1.795598060292884
Knowsley,3,24,102,129,1.0300694079584105,0.852310480217457,1.6494447298039285
Lancaster and Wyre,4,63,117,184,0.8283694359716693,1.5685523715415022,1.5418722474254114
Leeds Central and Headingley,2,67,187,256,0.9516070897740785,1.1989777800324677,0.5541103389185073
Leeds East,0,51,135,186,0.945533351233171,1.2561269375785504,0.0
Leeds North East,2,43,92,137,0.8748292352691008,1.437885107593137,1.0354178595849477
Leeds North West,0,41,101,142,0.9265930900504096,1.3227318456191697,0.0
Leeds South,2,81,184,267,0.8977648331975043,1.389792791478185,0.5312818230829133
Leeds South West and Morley,0,58,124,182,0.8875775829402465,1.4599329242186385,0.0
Leeds West and Pudsey,5,41,90,136,0.8621039378890676,1.3810876623376622,2.6075780654988576
Leicester East,1,31,91,123,0.9638119544096749,1.154603526554746,0.5766351494436499
Leicester South,0,28,109,137,1.0364824635253478,0.9362972793629728,0.0
Leicester West,3,26,119,148,1.047469229038789,0.8047999297999299,1.4376916901669377
Leigh and Atherton,2,14,71,87,1.0631514207224568,0.7371995820271683,1.630485594978596
Lewes,1,57,150,208,0.9394722400073173,1.2554164585414587,0.34099097779600446
Lewisham East,0,32,223,255,1.1392543890326643,0.5748917748917749,0.0
Lewisham North,1,40,278,319,1.1352987002337118,0.5744412327484427,0.22233894476980853
Lewisham West and East Dulwich,0,41,201,242,1.0820235650199979,0.776148438338521,0.0
Leyton and Wanstead,0,32,172,204,1.098384276421627,0.7186147186147186,0.0
Lichfield,5,13,36,54,0.8684898929845422,1.1028739778739778,6.567233646441567
Lincoln,4,25,148,177,1.0892924081501036,0.6470577445153717,1.6028502459111622
Liverpool Garston,2,33,99,134,0.9624682769268994,1.1281982942430704,1.0585988564413271
Liverpool Riverside,2,55,202,259,1.0160325775070127,0.9728350799779372,0.5476920724445477
Liverpool Walton,1,33,118,152,1.0113336253833156,0.9945958646616542,0.4666192327734797
Liverpool Wavertree,0,32,135,167,1.0531090019722742,0.8778287580682791,0.0
Liverpool West Derby,2,36,126,164,1.000881644963893,1.0056224263541338,0.8649527241654748
Llanelli,1,49,101,151,0.8713656873321731,1.4866044551475015,0.4697094263680061
Loughborough,0,11,76,87,1.1380212390831932,0.5792282430213466,0.0
Louth and Horncastle,11,52,172,235,0.953491031446859,1.0137054434926775,3.3199462008393965
Lowestoft,0,26,77,103,0.9738891518418895,1.1564115496154332,0.0
Luton North,3,25,143,171,1.0894215324279783,0.6697615250246829,1.2443179540626126
Luton South and South Bedfordshire,3,40,191,234,1.0633433946156894,0.7831057831057832,0.9093092741226785
Macclesfield,2,17,80,99,1.052715021799445,0.786665354847173,1.432850977405433
Maidenhead,0,28,78,106,0.9586162026338815,1.2101200686106346,0.0
Maidstone and Malling,2,23,119,144,1.0765655965120886,0.7317144660894661,0.985085046966235
Makerfield,1,14,37,52,0.9269459434738864,1.2333916083916083,1.3639639111840178
Maldon,2,49,108,159,0.8848764947389675,1.4118067467124071,0.8921524953656469
Manchester Central,2,43,143,188,0.9909100108786398,1.0478205305332966,0.7545332274634992
Manchester Rusholme,3,34,95,132,0.9375743162901308,1.1799980322707595,1.611957349581112
Manchester Withington,1,19,31,51,0.7918584318388472,1.7067099567099568,1.3907083015993906
Mansfield,2,34,132,168,1.023577373874639,0.9271413110698825,0.8443586116853443
Melksham and Devizes,2,17,109,128,1.1093601367419739,0.6084364853896104,1.1082206778370145
Melton and Syston,3,29,59,91,0.844630280539912,1.4599329242186385,2.3382238477440307
Meriden and Solihull East,0,40,93,133,0.9109348877544634,1.3777951371936334,0.0
Merthyr Tydfil and Aberdare,1,15,68,84,1.0545948700526584,0.81806586270872,0.8443586116853443
Mid Bedfordshire,1,38,131,170,1.0038721410086033,1.024025974025974,0.4172124904798172
Mid Buckinghamshire,1,31,90,122,0.9610338979746984,1.1640674898871621,0.5813616670620404
Mid Cheshire,1,19,73,93,1.0225768094817997,0.9359377181957829,0.7626464879738595
Mid Derbyshire,1,25,83,109,0.9919907493263808,1.0507267961396403,0.6506983796474214
Mid Dorset and North Poole,2,27,140,169,1.079188624418662,0.7319027126719435,0.8393624068824724
Mid Leicestershire,6,12,60,78,1.0021037226744718,0.7047952047952049,5.455855644736071
Mid Norfolk,5,30,91,126,0.9408640507332541,1.0907544836116265,2.8145287056178145
Mid Sussex,4,44,111,159,0.9094563973706055,1.2677448337825696,1.7843049907312938
Mid and South Pembrokeshire,2,54,95,151,0.8196013890748163,1.6382987873054098,0.9394188527360122
Middlesbrough South and East Cleveland,1,15,39,55,0.9237574316290131,1.249409681227863,1.2895658796648894
Middlesbrough and Thornaby East,1,25,103,129,1.0401681276442774,0.8878234168931844,0.5498149099346428
Milton Keynes Central,4,26,126,156,1.0522089088081954,0.7635281385281385,1.818618548245357
Milton Keynes North,0,24,47,71,0.8623737669776088,1.5485641119443936,0.0
Mitcham and Morden,0,50,206,256,1.0482944411414983,0.8947595373376623,0.0
Monmouthshire,3,31,47,81,0.7559078698198793,1.75328683662017,2.626893458576627
Montgomeryshire and Glyndwr,4,62,125,191,0.8525751567256631,1.4870809818453798,1.4853638404517053
Morecambe and Lunesdale,6,59,97,162,0.7800325890694499,1.6684503767837102,2.626893458576627
Neath and Swansea East,2,8,40,50,1.0421878715814508,0.7329870129870131,2.837044935262757
New Forest East,3,42,137,182,0.9806300714743045,1.0571928071928074,1.1691119238720153
New Forest West,2,41,90,133,0.8815498913752872,1.4122400156234742,1.0665582463393823
Newark,7,59,175,241,0.945969281777769,1.121530958667888,2.0600948700040767
Newbury,2,18,67,87,1.0032555660338676,0.9478280340349307,1.630485594978596
Newcastle upon Tyne Central and West,4,53,192,249,1.0045184304399524,0.9751082251082251,1.1393754760091392
Newcastle upon Tyne East and Wallsend,0,37,115,152,0.9856217535515364,1.115152939166097,0.0
Newcastle upon Tyne North,0,12,84,96,1.1398929845422117,0.5726461038961039,0.0
Newcastle-under-Lyme,3,16,42,61,0.8969649714430518,1.2016180540770707,3.488170002372242
Newport East,3,25,67,95,0.9187708867889104,1.2055707450444293,2.239772317312703
Newport West and Islwyn,4,27,43,74,0.7569945688851752,1.6715075465075466,3.833844507111834
Newton Abbot,0,20,81,101,1.0447675445309097,0.9071621447859073,0.0
Newton Aycliffe and Spennymoor,3,28,44,75,0.7642711058263971,1.7103030303030304,2.837044935262757
Normanton and Hemsworth,1,51,118,170,0.9042512415191998,1.3743506493506494,0.4172124904798172
North Bedfordshire,2,32,111,145,0.9972659805650088,1.0110165696372593,0.9782913569871575
North Cornwall,6,43,152,201,0.985152714430227,0.9800510434838793,2.1171977128826542
North Cotswolds,5,62,104,171,0.7923065690385297,1.6610085820612137,2.073863256771021
North Devon,4,30,119,153,1.013238208481966,0.8982683982683983,1.8542777354658544
North Dorset,1,19,91,111,1.0680078413728828,0.7841640341640342,0.6389740845186389
North Durham,4,30,54,88,0.7994054696789537,1.5617621015348289,3.223914699162224
North East Cambridgeshire,4,26,119,149,1.0404392342130253,0.799398587989192,1.9040570035320517
North East Derbyshire,5,34,71,110,0.8408561236623069,1.4159976387249116,3.223914699162224
North East Hampshire,2,32,122,156,1.018805451385713,0.9397269397269398,0.9093092741226785
North East Hertfordshire,2,31,93,126,0.9615423815186004,1.1271129663986807,1.1258114822471257
North East Somerset and Hanham,0,10,35,45,1.013238208481966,1.018037518037518,0.0
North Herefordshire,2,41,107,150,0.9292841854934603,1.252186147186147,0.9456816450875857
North Norfolk,1,39,90,130,0.9018933504070246,1.3743506493506494,0.5455855644736072
North Northumberland,3,45,66,114,0.7542149070655235,1.808356117566644,1.8664769310939189
North Shropshire,6,31,59,96,0.800639120095125,1.4793357683982686,4.432882711348058
North Somerset,3,18,81,102,1.034524725466881,0.8084415584415585,2.086062452399086
North Warwickshire and Bedworth,6,54,164,224,0.9537880074740954,1.1043889146567718,1.8998068762920246
North West Cambridgeshire,0,29,126,155,1.0589973533811514,0.8571219103477169,0.0
North West Essex,4,54,117,175,0.8709712926787838,1.4136178107606678,1.621168534435861
North West Hampshire,3,24,85,112,0.9886826906743672,0.9816790352504638,1.8998068762920246
North West Leicestershire,6,29,52,87,0.7786461109516586,1.527056277056277,4.891456784935788
North West Norfolk,4,53,112,169,0.8633508995349296,1.4366979174671484,1.6787248137649449
Northampton North,1,33,204,238,1.116629862408697,0.6352040816326531,0.298008921771298
Northampton South,1,21,116,138,1.0950524737631184,0.6971343873517787,0.5139574158084704
Norwich North,1,18,73,92,1.033691774802254,0.8963156408808584,0.7709361237127057
Norwich South,2,36,106,144,0.958957590170432,1.1452922077922079,0.985085046966235
Nottingham East,3,54,200,257,1.0138014314994657,0.9625802213350853,0.8279314013412715
Nottingham North and Kimberley,0,55,148,203,0.9497771243476274,1.2412033779028853,0.0
Nottingham South,1,38,149,188,1.0324866546917297,0.9259809339596573,0.3772666137317496
Nuneaton,1,29,118,148,1.0386669666098916,0.8976614601614602,0.47923056338897924
Old Bexley and Sidcup,1,28,127,156,1.0605597731638159,0.8222610722610723,0.45465463706133924
Oldham East and Saddleworth,1,31,52,84,0.8064549006285036,1.6906694495980212,0.8443586116853443
"Oldham West, Chadderton and Royton",2,20,77,99,1.013238208481966,0.92548865276138,1.432850977405433
Orpington,2,30,128,160,1.0421878715814508,0.8589691558441559,0.8865765422696116
Ossett and Denby Dale,2,62,123,187,0.8568790655382248,1.5188902007083827,0.7585681645087585
Oxford East,0,32,133,165,1.0500832342449464,0.8884691066509248,0.0
Oxford West and Abingdon,3,21,90,114,1.0284748732711684,0.8438995215311005,1.8664769310939189
Peckham,2,57,241,300,1.0465303210463734,0.8704220779220779,0.47284082254379284
Pendle and Clitheroe,1,46,106,153,0.9025483201604065,1.3773448773448773,0.4635694338664636
Penistone and Stocksbridge,4,52,88,144,0.7961157352358305,1.6543109668109668,1.97017009393247
Penrith and Solway,4,42,102,148,0.8978307677475335,1.300061425061425,1.916922253555917
Peterborough,2,45,162,209,1.0097753301207837,0.9863760641272604,0.6787188840341524
Plymouth Moor View,0,25,117,142,1.073380114216811,0.8065438083043717,0.0
Plymouth Sutton and Devonport,1,38,155,194,1.0408448459737427,0.8973423483732762,0.3655985741317986
"Pontefract, Castleford and Knottingley",2,46,102,150,0.8858596908442331,1.4048917748917749,0.9456816450875857
Pontypridd,6,9,48,63,0.9925598776966196,0.6544526901669758,6.7548688934827545
Poole,2,29,136,167,1.060909809394291,0.7955323119993779,0.8494146512762746
Poplar and Limehouse,2,35,176,213,1.0764381772202778,0.7527742210840803,0.6659729894982998
Portsmouth North,2,59,194,255,0.991100230817654,1.05995670995671,0.5562833206397563
Portsmouth South,0,36,172,208,1.077261501875057,0.7928946053946054,0.0
Preston,1,97,193,291,0.8640131409588486,1.527056277056277,0.24373238275453238
Putney,0,30,205,235,1.1364282642244543,0.5848300635534678,0.0
Queen's Park and Maida Vale,1,52,299,352,1.1065844233055886,0.6767635773317592,0.201494668697639
Rawmarsh and Conisbrough,0,33,101,134,0.9819120805011802,1.1281982942430704,0.0
Rayleigh and Wickford,1,34,65,100,0.8467776456599286,1.5575974025974029,0.7092612338156893
Reading Central,0,23,151,174,1.1305342572471195,0.6055567995223168,0.0
Reading West and Mid Berkshire,3,22,100,125,1.0421878715814508,0.8062857142857143,1.7022269611576542
Redcar,0,24,73,97,0.9804086936268801,1.1334850716294016,0.0
Redditch,2,19,61,82,0.9691076244888489,1.0614903389293635,1.7299054483309495
Reigate,1,53,162,216,0.97705112960761,1.124083092833093,0.32836168232207835
Rhondda and Ogmore,2,12,54,68,1.034524725466881,0.8084415584415585,2.086062452399086
Ribble Valley,1,67,137,205,0.8706081610162119,1.4972600570161547,0.3459810896661899
Richmond Park,2,80,161,243,0.8631288442624154,1.5082037304259528,0.5837541019059171
Richmond and Northallerton,3,46,71,120,0.7707847800237813,1.7561147186147188,1.7731530845392232
Rochdale,3,26,62,91,0.8875775829402465,1.3089053803339517,2.3382238477440307
Rochester and Strood,1,42,135,178,0.9880292321874707,1.080949948927477,0.39846136731218496
Romford,0,17,174,191,1.186784618162123,0.4077480111511525,0.0
Romsey and Southampton North,3,44,145,192,0.9838362068965517,1.0498511904761905,1.1082206778370145
Rossendale and Darwen,2,57,93,152,0.7970680267851554,1.7179383116883118,0.9332384655469594
Rother Valley,6,40,78,124,0.8194622377354148,1.4777963971512358,3.4319091958823673
Rotherham,4,65,134,203,0.8599333423147437,1.4668767193397736,1.3975590814102252
Rugby,2,32,97,131,0.9646204536584038,1.1190641419649052,1.0828415783445637
"Ruislip, Northwood and Pinner",2,21,93,116,1.0444339661322728,0.8293495297805643,1.222864196233947
Runcorn and Helsby,2,28,121,151,1.0439133481900291,0.8494882600842866,0.9394188527360122
Runnymede and Weybridge,1,67,258,326,1.0309987379908523,0.9415285634610788,0.21756479564898443
Rushcliffe,1,43,81,125,0.844172175980975,1.575922077922078,0.5674089870525514
Rutland and Stamford,4,29,88,121,0.9474435196195006,1.0979660835032736,2.3446652357543445
Salford,1,20,62,83,0.9731272294887039,1.103896103896104,0.8545316070068546
Salisbury,1,35,163,199,1.0670642152498522,0.8057332115121061,0.3564126803093916
Scarborough and Whitby,5,32,122,159,0.9995827070199449,0.9219962427509598,2.2303812384141173
Scunthorpe,3,43,178,224,1.0352089349413962,0.8794208024118739,0.9499034381460123
Sefton Central,1,21,80,102,1.021752815275932,0.9431818181818181,0.6953541507996953
Selby,5,35,80,120,0.8684898929845422,1.3361742424242427,2.955255140898705
Sevenoaks,4,44,201,249,1.0516052318668252,0.8095238095238095,1.1393754760091392
Sheffield Brightside and Hillsborough,3,51,134,188,0.9285450451590052,1.2427638850511191,1.1317998411952488
Sheffield Central,2,54,122,178,0.892885676495344,1.389792791478185,0.7969227346243699
Sheffield Hallam,2,35,52,89,0.7611484455370144,1.8015832482124619,1.5938454692487398
Sheffield Heeley,3,43,98,144,0.8865834324217202,1.3679879148629148,1.4776275704493524
Sheffield South East,2,36,78,116,0.8759768748206158,1.421742051052396,1.222864196233947
Sherwood Forest,3,30,95,128,0.9668735136741974,1.0737114448051948,1.6623310167555216
Shipley,1,55,98,154,0.829013079667063,1.63613172541744,0.4605592427374606
Shrewsbury,5,16,62,83,0.9731272294887039,0.8831168831168832,4.272658035034272
Sittingbourne and Sheppey,0,30,153,183,1.0891717510379915,0.7510112837981691,0.0
Skipton and Ripon,9,71,172,252,0.8891682237698885,1.2907261389404248,2.533075835056033
Sleaford and North Hykeham,2,34,160,196,1.0634570118178068,0.7946925523456136,0.7237359528731523
Slough,0,25,147,172,1.1133838453668112,0.6658675626698883,0.0
Smethwick,2,41,149,192,1.0109765160523185,0.9782704274891775,0.7388137852246762
Solihull West and Shirley,0,15,84,99,1.1053507728894174,0.6941164895710351,0.0
South Basildon and East Thurrock,5,33,82,120,0.8902021403091558,1.2598214285714286,2.955255140898705
South Cambridgeshire,2,51,130,183,0.9254400499015614,1.2767191824568873,0.7751488894160539
South Cotswolds,5,45,115,165,0.9079667063020215,1.249409681227863,2.1492764661081494
South Derbyshire,2,27,108,137,1.0269734500985097,0.9028580908142952,1.0354178595849477
South Devon,1,21,95,117,1.0577761517119424,0.8222610722610723,0.6062061827484524
South Dorset,2,34,122,158,1.005909179849185,0.9858211408844321,0.897799030146442
South East Cornwall,2,36,118,156,0.9854019939632306,1.0571928071928074,0.9093092741226785
