PCON25NM,Fatal,Serious,Slight,Total,Slight_Proportion,Serious_Proportion,Fatal_Proportion
Tooting,1,40,317,358,1.1535389500395246,0.5118624392367409,0.19811766307700818
Torbay,2,37,110,149,0.9617505526338891,1.1376056829076964,0.9520285017660258
Torfaen,4,22,54,80,0.8793460166468491,1.2598214285714286,3.5463061690784463
Torridge and Tavistock,1,41,114,156,0.9519985365407482,1.2040251415251417,0.45465463706133924
Tottenham,0,64,367,431,1.1092892948677273,0.680266369361497,0.0
Truro and Falmouth,2,32,128,162,1.0293213546483462,0.9049222382555716,0.8756311528588756
Tunbridge Wells,3,56,151,210,0.9367283845761848,1.2216450216450216,1.0132303340224131
Twickenham,0,40,125,165,0.9869203329369798,1.1105863833136562,0.0
Tynemouth,1,20,90,111,1.0562714914676865,0.8254358254358254,0.6389740845186389
Uxbridge and South Ruislip,1,35,152,188,1.0532749765982745,0.8528771760154739,0.3772666137317496
Vale of Glamorgan,1,14,54,69,1.019531613503593,0.9295125164690383,1.0279148316169409
Vauxhall and Camberwell Green,0,64,299,363,1.073051561993298,0.8076991878644771,0.0
Wakefield and Rothwell,2,50,119,171,0.9065815549575484,1.3395230500493658,0.8295453027084084
Wallasey,0,23,91,114,1.0399023718630702,0.9242709045340625,0.0
Walsall and Bloxwich,0,36,146,182,1.0450510250748064,0.9061652633081204,0.0
Walthamstow,2,28,197,227,1.130567239545957,0.565078093712455,0.6248997654763783
Warrington North,4,35,138,177,1.0156915697615834,0.9058808423215203,1.6028502459111622
Warrington South,0,24,91,115,1.0308597425425219,0.9560700169395822,0.0
Warwick and Leamington,0,14,108,122,1.153240677569638,0.5257078986587184,0.0
Washington and Gateshead South,0,24,100,124,1.050592612481301,0.8866778382907415,0.0
Watford,2,33,127,162,1.0212797815651562,0.9332010582010581,0.8756311528588756
Waveney Valley,4,45,80,129,0.8078975748693416,1.5980821504077318,2.199259639738571
Weald of Kent,6,55,202,263,1.0005796105487312,0.9580391091797937,1.6180864649787587
Wellingborough and Rushden,2,30,86,118,0.9494508152119147,1.1647039401276689,1.2021376844333715
Wells and Mendip Hills,5,24,104,133,1.0186798744781096,0.8266770823161801,2.666395615848456
Welwyn Hatfield,4,27,116,147,1.0280084447572133,0.8414391730718263,1.9299625409950727
West Bromwich,2,38,160,200,1.0421878715814508,0.8704220779220779,0.7092612338156893
West Dorset,2,51,135,188,0.9354744857945202,1.2427638850511191,0.7545332274634992
West Ham and Beckton,0,28,194,222,1.138425940804062,0.5778050778050777,0.0
West Lancashire,5,40,99,144,0.8956302021403092,1.2725468975468976,2.462712617415588
West Suffolk,4,32,87,123,0.9214465937762826,1.1918488016048994,2.3065405977745996
West Worcestershire,4,36,90,130,0.9018933504070246,1.2686313686313688,2.1823422578944287
Westmorland and Lonsdale,7,72,132,211,0.81498103701867,1.5632424447590325,2.352999353890912
Weston-super-Mare,0,15,82,97,1.101280998320605,0.708428169768376,0.0
Wetherby and Easingwold,2,43,124,169,0.9558527816279576,1.165622838699762,0.8393624068824724
