road_surface_condition,Fatal,Serious,Slight,Total,Slight_Proportion,Serious_Proportion,Fatal_Proportion
Dry,1009,16061,52703,69773,1.0,1.0,1.0
Flood over 3cm. deep,8,49,117,174,0.8902022197257631,1.2233807602767324,3.179339963318638
Frost or ice,13,234,820,1067,1.0174228623304566,0.9527221283290445,0.8425101917791423
Snow,4,57,173,234,0.9787737313969217,1.058214754964646,1.1820622940543655
Wet or damp,460,5987,19138,25585,0.9902918123143829,1.0165731885704414,1.2432791218683985
